,Feature1,Feature2,Correlation_x,Correlation_y
459,Ne_rho_z28,Ne_rho_z51,True,True
460,Ne_rho_z28,Ne_rho_z52,True,True
461,Ne_rho_z28,Ne_rho_z53,True,True
462,Ne_rho_z28,Ne_rho_z54,True,True
463,Ne_rho_z28,Ne_rho_z55,True,True
464,Ne_rho_z28,Ne_rho_z56,True,True
465,Ne_rho_z28,Ne_rho_z57,True,True
466,Ne_rho_z28,Ne_rho_z58,True,True
467,Ne_rho_z28,Ne_rho_z59,True,True
468,Ne_rho_z28,Ne_rho_z60,True,True
469,Ne_rho_z28,Te_rho_z14,True,True
470,Ne_rho_z28,Te_rho_z15,True,True
471,Ne_rho_z28,Te_rho_z16,True,True
472,Ne_rho_z28,Te_rho_z17,True,True
473,Ne_rho_z28,Te_rho_z18,True,True
474,Ne_rho_z28,Te_rho_z19,True,True
475,Ne_rho_z28,Te_rho_z20,True,True
476,Ne_rho_z28,Te_rho_z21,True,True
477,Ne_rho_z28,Te_rho_z22,True,True
478,Ne_rho_z28,Te_rho_z23,True,True
479,Ne_rho_z28,Te_rho_z24,True,True
480,Ne_rho_z28,Te_rho_z25,True,True
481,Ne_rho_z28,Te_rho_z26,True,True
482,Ne_rho_z28,Te_rho_z27,True,True
483,Ne_rho_z28,Te_rho_z28,True,True
484,Ne_rho_z28,Te_rho_z29,True,True
485,Ne_rho_z28,Te_rho_z30,True,True
486,Ne_rho_z28,Te_rho_z31,True,True
487,Ne_rho_z28,Te_rho_z32,True,True
488,Ne_rho_z28,Te_rho_z33,True,True
489,Ne_rho_z28,Te_rho_z34,True,True
490,Ne_rho_z28,Te_rho_z35,True,True
491,Ne_rho_z28,Te_rho_z36,True,True
492,Ne_rho_z28,Te_rho_z37,True,True
493,Ne_rho_z28,Te_rho_z38,True,True
494,Ne_rho_z28,Te_rho_z39,True,True
495,Ne_rho_z28,Te_rho_z40,True,True
496,Ne_rho_z28,Te_rho_z41,True,True
497,Ne_rho_z28,Te_rho_z42,True,True
498,Ne_rho_z28,Te_rho_z43,True,True
499,Ne_rho_z28,Te_rho_z44,True,True
500,Ne_rho_z28,Te_rho_z45,True,True
501,Ne_rho_z28,Te_rho_z46,True,True
502,Ne_rho_z28,Te_rho_z47,True,True
503,Ne_rho_z28,Te_rho_z48,True,True
504,Ne_rho_z28,Te_rho_z49,True,True
505,Ne_rho_z28,Te_rho_z50,True,True
